,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
45,9847,00AWGM,Queen's Gate,00AW,Kensington and Chelsea,100.2,5.8,4.0,1.5,3.8,0.6,50.7,94.5,86.6,90.55,14.3698588402559,76.2301411597441,9.4,28.7,63.2,24.9
46,12879,00BHGN,Leytonstone,00BH,Waltham Forest,109.2,5.8,15.4,7.5,15.1,0.7,60.0,76.8,84.0,80.4,16.4220824598183,76.0779175401817,7.5,47.6,42.6,15.4
47,11135,00ADGU,Saint Michael's,00AD,Bexley,30.0,5.9,7.0,3.7,21.8,1.4,56.4,83.2,88.4,85.80000000000001,22.1463852716659,64.15361472833409,13.7,17.3,11.6,2.4
48,10013,00AWFY,Abingdon,00AW,Kensington and Chelsea,97.2,5.9,9.4,2.8,6.3,0.6,62.2,84.6,87.1,85.85,15.4698891441127,72.8301108558873,11.7,32.6,59.6,26.1
49,15565,00BEGY,The Lane,00BE,Southwark,150.3,6.0,41.5,9.7,17.5,0.5,87.8,74.5,83.8,79.15,19.8393832316094,71.0606167683906,9.1,50.7,37.7,8.5
50,15982,00BBGC,Boleyn,00BB,Newham,109.5,6.1,25.8,9.8,22.4,0.6,89.0,75.6,82.4,79.0,24.9405581278939,67.5594418721061,7.5,78.1,54.8,26.4
51,13683,00BGFW,Bethnal Green North,00BG,Tower Hamlets,123.6,6.1,46.0,12.8,22.1,0.4,54.5,73.6,78.6,76.1,18.5558722502375,74.4441277497625,7.0,49.4,38.7,15.0
52,14029,00AJGF,Ealing Broadway,00AJ,Ealing,159.6,6.1,11.0,3.4,7.3,0.8,49.7,79.7,85.0,82.35,14.5484353838477,73.55156461615229,11.9,30.5,44.3,18.6
53,10366,00BKGM,Marylebone High Sainteet,00BK,Westminster,376.3,6.1,9.9,1.3,5.8,0.5,36.5,84.4,83.9,84.15,8.52787960640556,79.77212039359443,11.7,27.8,58.5,21.8
54,14915,00AEGR,Kensal Green,00AE,Brent,141.0,6.9,26.7,13.3,19.7,0.6,94.6,76.7,83.1,79.9,19.5507877975193,71.44921220248071,9.0,52.3,50.2,21.9
55,12373,00AXGA,Canbury,00AX,Kingston upon Thames,48.7,7.0,12.5,1.9,9.0,0.9,77.1,77.2,81.6,79.4,21.7004768447426,70.3995231552574,7.9,21.4,27.5,9.5
56,13174,00BEGC,Brunswick Park,00BE,Southwark,100.1,7.0,46.6,10.1,15.2,0.5,73.3,78.8,90.7,84.75,19.6599362380446,73.24006376195541,7.1,53.3,40.6,10.7
57,14720,00BEGQ,Peckham,00BE,Southwark,126.2,7.0,59.4,14.4,19.6,0.5,89.0,75.8,77.8,76.8,24.2663043478261,69.5336956521739,6.2,70.8,47.6,12.3
58,11138,00AQGH,Kenton East,00AQ,Harrow,45.6,7.2,14.8,3.7,23.4,1.2,60.4,78.2,85.9,82.05000000000001,18.737654875202,68.862345124798,12.4,73.4,57.1,24.7
59,11250,00BKGA,Abbey Road,00BK,Westminster,56.8,7.2,9.1,2.4,10.0,0.7,68.5,81.5,85.1,83.3,17.4577777777778,68.5422222222222,14.0,35.4,56.9,20.4
60,11925,00AGGG,Cantelowes,00AG,Camden,110.4,7.4,40.3,6.2,13.9,0.4,46.0,77.2,82.5,79.85,16.1844863731656,74.71551362683441,9.1,31.9,35.9,12.6
61,11448,00ATGT,Turnham Green,00AT,Hounslow,117.8,7.4,14.7,2.7,9.9,0.8,52.2,77.9,83.8,80.85,14.9807826694619,72.11921733053809,12.9,23.2,39.9,12.8
62,13023,00AGGP,Holborn and Covent Garden,00AG,Camden,480.3,7.5,42.5,6.0,12.9,0.3,40.3,75.6,82.8,79.19999999999999,12.8618597865315,77.7381402134685,9.4,39.8,45.6,16.3
63,11760,00BKGE,Church Sainteet,00BK,Westminster,111.0,7.6,55.8,12.4,28.1,0.3,54.3,73.4,76.4,74.9,23.1632653061224,65.4367346938776,11.4,61.7,52.7,27.2
64,16201,00AHGG,Bensham Manor,00AH,Croydon,68.8,7.7,11.9,8.5,17.9,0.8,90.1,80.9,84.3,82.6,23.0603049194494,67.1396950805506,9.8,73.5,45.3,12.9
65,12420,00AQGB,Greenhill,00AQ,Harrow,151.9,7.7,11.4,5.3,11.7,0.8,63.3,76.4,82.1,79.25,16.8276972624799,72.77230273752009,10.4,58.5,52.7,20.7
66,14666,00BCGE,Clementswood,00BC,Redbridge,183.3,7.7,10.7,9.1,18.6,0.8,93.1,76.7,81.2,78.95,26.6398472657848,65.9601527342152,7.4,84.2,55.6,25.1
67,9599,00BFGP,Sutton South,00BF,Sutton,43.5,8.1,11.9,3.5,15.7,0.9,85.8,77.2,81.7,79.45,14.8765496405876,67.6234503594124,17.5,24.4,29.4,9.7
68,12400,00AUGK,Saint George's,00AU,Islington,93.2,8.1,38.0,6.9,16.5,0.5,44.6,75.4,82.9,79.15,16.2258064516129,74.67419354838711,9.1,28.1,32.8,10.6
69,15921,00ARGR,Romford Town,00AR,Havering,225.4,8.1,13.0,5.0,21.0,0.9,70.0,76.4,81.0,78.7,17.6747691727907,68.3252308272093,14.0,16.4,16.6,5.6
70,12364,00AGGM,Haverstock,00AG,Camden,118.8,8.2,49.2,7.7,18.6,0.4,65.9,76.7,81.4,79.05000000000001,19.4920737625364,69.40792623746361,11.1,37.1,36.3,10.7
71,12259,00AQGK,Marlborough,00AQ,Harrow,83.2,8.3,11.1,6.1,17.1,0.9,75.1,78.9,84.3,81.6,20.6949995921364,68.70500040786361,10.6,62.9,51.6,20.2
72,11004,00ANGH,Munster,00AN,Hammersmith and Fulham,75.5,8.5,18.1,2.8,9.7,0.7,54.5,85.3,84.5,84.9,15.0672482733551,76.53275172664489,8.4,19.3,38.3,10.7
73,8792,00AWGG,Hans Town,00AW,Kensington and Chelsea,108.6,8.5,16.4,2.2,9.2,0.6,48.2,98.1,92.3,95.19999999999999,12.590991810737,72.80900818926301,14.6,23.5,55.6,24.8
74,13195,00BKGJ,Lancaster Gate,00BK,Westminster,172.3,8.6,10.5,3.4,7.1,0.4,46.5,93.7,88.1,90.9,11.5953012504737,80.0046987495263,8.4,33.7,64.6,32.2
