Id,Population_2011_Census,Ward_Code,Ward_Name,District_Code,District,Crime_Rate,Open_Space,hh_Social_Rented,Job_Seekers,No_Qual,Cars_Per_Household,General_Fertility_Rate,Male_Life_Expectancy,Female_Life_Expectancy,Life_Expectancy,Children,Adult,Greater_Than_65,Non_White,Not_Born_In_UK,Not_English_Speaking
33,15362,00BEGL,Grange,00BE,Southwark,140.5,4.5,45,7.6,15.7,0.4,59.7,77.9,81.1,79.5,14.1,79.4,6.5,39.1,38.3,10.8
34,18652,00AHGH,Broad Green,00AH,Croydon,219.7,4.5,27.5,8.3,20.2,0.7,83.8,75.3,83.8,79.6,25.8,67.1,7.1,68.6,46.2,16.9
35,14257,00BCGB,Chadwell,00BC,Redbridge,67.1,4.8,10,6.5,18.5,1,90.5,77.9,81.8,79.8,24.7,65,10.3,56.9,31.6,9.9
36,14483,00APGC,Bruce Grove,00AP,Haringey,111.6,4.9,28.2,15.3,22.5,0.5,83.9,75.2,83,79.1,22.5,69.1,8.4,55.9,55.5,23.5
37,13799,00BHFX,Cann Hall,00BH,Waltham Forest,84.6,5,28.3,10.5,19.2,0.6,106.8,77,81.3,79.2,21.7,71.2,7.1,57,48.8,18.2
38,13269,00BHGR,William Morris,00BH,Waltham Forest,81,5.3,21.4,9,20.4,0.6,102.7,77.5,80.7,79.1,22.4,69.6,8,51.8,43.6,16.9
39,13417,00AGGQ,Kentish Town,00AG,Camden,126.3,5.3,33.3,5.6,13.6,0.4,55.2,73.5,78.4,76,15.8,74.6,9.6,28.4,34.2,10.4
40,14862,00BGGN,Whitechapel,00BG,Tower Hamlets,146.5,5.4,32.9,9.3,17.1,0.3,66.9,73.6,83.2,78.4,16.4,78,5.6,60.2,48.8,24.8
41,15178,00BEGF,Chaucer,00BE,Southwark,122.6,5.6,43.3,6.4,11.3,0.4,36.3,88.5,97.5,93,14.8,80,5.2,49.9,45.2,13.3
42,8977,00BAGE,Hillside,00BA,Merton,52,5.7,9.9,1.2,6.4,0.8,60,81,91.7,86.4,13.8,72.5,13.7,21.7,41.6,11.3
43,11986,00AGGJ,Frognal and Fitzjohns,00AG,Camden,65.2,5.7,7.1,1.9,6.1,0.8,55.6,80,85.6,82.8,17.9,68.1,14,25.8,48.5,14.6
44,10459,00AXGL,Surbiton Hill,00AX,Kingston upon Thames,30.3,5.8,7.5,1.7,10.7,1,54.2,79.1,81.9,80.5,16.7,69.8,13.5,19,25,7
45,9847,00AWGM,Queen's Gate,00AW,Kensington and Chelsea,100.2,5.8,4,1.5,3.8,0.6,50.7,94.5,86.6,90.6,14.4,76.2,9.4,28.7,63.2,24.9
46,12879,00BHGN,Leytonstone,00BH,Waltham Forest,109.2,5.8,15.4,7.5,15.1,0.7,60,76.8,84,80.4,16.4,76.1,7.5,47.6,42.6,15.4
47,11135,00ADGU,Saint Michael's,00AD,Bexley,30,5.9,7,3.7,21.8,1.4,56.4,83.2,88.4,85.8,22.1,64.2,13.7,17.3,11.6,2.4
48,10013,00AWFY,Abingdon,00AW,Kensington and Chelsea,97.2,5.9,9.4,2.8,6.3,0.6,62.2,84.6,87.1,85.8,15.5,72.8,11.7,32.6,59.6,26.1
49,15565,00BEGY,The Lane,00BE,Southwark,150.3,6,41.5,9.7,17.5,0.5,87.8,74.5,83.8,79.2,19.8,71.1,9.1,50.7,37.7,8.5
50,15982,00BBGC,Boleyn,00BB,Newham,109.5,6.1,25.8,9.8,22.4,0.6,89,75.6,82.4,79,24.9,67.6,7.5,78.1,54.8,26.4
51,13683,00BGFW,Bethnal Green North,00BG,Tower Hamlets,123.6,6.1,46,12.8,22.1,0.4,54.5,73.6,78.6,76.1,18.6,74.4,7,49.4,38.7,15
52,14029,00AJGF,Ealing Broadway,00AJ,Ealing,159.6,6.1,11,3.4,7.3,0.8,49.7,79.7,85,82.4,14.5,73.6,11.9,30.5,44.3,18.6
53,10366,00BKGM,Marylebone High Sainteet,00BK,Westminster,376.3,6.1,9.9,1.3,5.8,0.5,36.5,84.4,83.9,84.2,8.5,79.8,11.7,27.8,58.5,21.8
54,14915,00AEGR,Kensal Green,00AE,Brent,141,6.9,26.7,13.3,19.7,0.6,94.6,76.7,83.1,79.9,19.6,71.4,9,52.3,50.2,21.9
55,12373,00AXGA,Canbury,00AX,Kingston upon Thames,48.7,7,12.5,1.9,9,0.9,77.1,77.2,81.6,79.4,21.7,70.4,7.9,21.4,27.5,9.5
56,13174,00BEGC,Brunswick Park,00BE,Southwark,100.1,7,46.6,10.1,15.2,0.5,73.3,78.8,90.7,84.8,19.7,73.2,7.1,53.3,40.6,10.7
57,14720,00BEGQ,Peckham,00BE,Southwark,126.2,7,59.4,14.4,19.6,0.5,89,75.8,77.8,76.8,24.3,69.5,6.2,70.8,47.6,12.3
58,11138,00AQGH,Kenton East,00AQ,Harrow,45.6,7.2,14.8,3.7,23.4,1.2,60.4,78.2,85.9,82,18.7,68.9,12.4,73.4,57.1,24.7
59,11250,00BKGA,Abbey Road,00BK,Westminster,56.8,7.2,9.1,2.4,10,0.7,68.5,81.5,85.1,83.3,17.5,68.5,14,35.4,56.9,20.4
60,11925,00AGGG,Cantelowes,00AG,Camden,110.4,7.4,40.3,6.2,13.9,0.4,46,77.2,82.5,79.8,16.2,74.7,9.1,31.9,35.9,12.6
61,11448,00ATGT,Turnham Green,00AT,Hounslow,117.8,7.4,14.7,2.7,9.9,0.8,52.2,77.9,83.8,80.8,15,72.1,12.9,23.2,39.9,12.8
62,13023,00AGGP,Holborn and Covent Garden,00AG,Camden,480.3,7.5,42.5,6,12.9,0.3,40.3,75.6,82.8,79.2,12.9,77.7,9.4,39.8,45.6,16.3
63,11760,00BKGE,Church Sainteet,00BK,Westminster,111,7.6,55.8,12.4,28.1,0.3,54.3,73.4,76.4,74.9,23.2,65.4,11.4,61.7,52.7,27.2
64,16201,00AHGG,Bensham Manor,00AH,Croydon,68.8,7.7,11.9,8.5,17.9,0.8,90.1,80.9,84.3,82.6,23.1,67.1,9.8,73.5,45.3,12.9
65,12420,00AQGB,Greenhill,00AQ,Harrow,151.9,7.7,11.4,5.3,11.7,0.8,63.3,76.4,82.1,79.2,16.8,72.8,10.4,58.5,52.7,20.7
66,14666,00BCGE,Clementswood,00BC,Redbridge,183.3,7.7,10.7,9.1,18.6,0.8,93.1,76.7,81.2,79,26.6,66,7.4,84.2,55.6,25.1
67,9599,00BFGP,Sutton South,00BF,Sutton,43.5,8.1,11.9,3.5,15.7,0.9,85.8,77.2,81.7,79.4,14.9,67.6,17.5,24.4,29.4,9.7
68,12400,00AUGK,Saint George's,00AU,Islington,93.2,8.1,38,6.9,16.5,0.5,44.6,75.4,82.9,79.2,16.2,74.7,9.1,28.1,32.8,10.6
