Id,Population_2011_Census,Ward_Code,Ward_Name,District_Code,District,Crime_Rate,Open_Space,hh_Social_Rented,Job_Seekers,No_Qual,Cars_Per_Household,General_Fertility_Rate,Male_Life_Expectancy,Female_Life_Expectancy,Life_Expectancy,Children,Adult,Greater_Than_65,Non_White,Not_Born_In_UK,Not_English_Speaking
135,11128,00ADGG,Colyers,00AD,Bexley,44.6,13.1,29.4,6.7,25.1,1.1,85.7,78.2,80.2,79.2,22.2,63.3,14.5,17.7,12.3,2
136,15605,00AZGU,Sydenham,00AZ,Lewisham,83.7,13.1,34.7,8,18.7,0.7,71.8,75.4,80.3,77.8,20.2,67.9,11.9,41.8,30.2,7.1
137,15842,00AYGA,Brixton Hill,00AY,Lambeth,112.2,13.1,32.2,7.9,13.8,0.5,44.5,74.8,78.4,76.6,15.7,77.3,7,41.5,37.4,11.1
138,14550,00AYGM,Saint Leonard's,00AY,Lambeth,129.7,13.2,14,7.3,12.6,0.6,69.1,76.2,82.3,79.2,17,75.4,7.6,38.9,40.4,15.8
139,13795,00AYGC,Clapham Town,00AY,Lambeth,179.5,13.2,29.7,5.1,10.9,0.5,37.9,75.5,81.7,78.6,14.6,78.1,7.3,29.3,35.2,7.8
140,13311,00AUGN,Tollington,00AU,Islington,87.4,13.3,41.9,7.8,17.3,0.4,46.2,72.4,80.8,76.6,17.7,74.3,8,35.8,34.5,12.6
141,14763,00AYGH,Knight's Hill,00AY,Lambeth,90.8,13.3,30.6,9.1,15.9,0.6,73.7,74.4,79.4,76.9,23.2,67.8,9,47.7,35.3,11.6
142,8933,00AWGC,Courtfield,00AW,Kensington and Chelsea,99.4,13.3,9.1,2.7,3.8,0.5,49.6,83.5,92.2,87.8,12.5,78.4,9.1,24.8,61.4,28.3
143,12445,00AMGS,Saintke Newington Central,00AM,Hackney,111.6,13.3,32.2,8.3,14.2,0.4,50.1,74.9,85.9,80.4,16,77,7,39.9,36.6,13
144,16533,00ACGR,West Finchley,00AC,Barnet,76.1,13.4,7.2,3.3,12.2,0.9,64.6,79.9,81.6,80.8,17.6,69.9,12.5,39.2,44.7,19
145,12038,00AGGR,Kilburn,00AG,Camden,135.2,13.4,42.1,8,17.4,0.4,59.4,72,78.9,75.4,17.3,71.5,11.2,40.1,47.9,18.7
146,10598,00ADGS,Northumberland Heath,00AD,Bexley,41.1,13.5,9.3,3.8,23.3,1.3,50,78.5,82.9,80.7,20.6,64.3,15.1,14.5,9.8,1.9
147,17156,00AZGF,Brockley,00AZ,Lewisham,118.9,13.5,30.1,8.4,11.8,0.5,53,75,80.1,77.6,15.2,78.3,6.5,43.1,36.8,10.5
148,13818,00AGGU,Saint Pancras and Somers Town,00AG,Camden,120.8,13.5,61.2,10.8,22.7,0.3,75.8,75.5,85.3,80.4,20,70.6,9.4,49,42.4,17.9
149,11843,00AGGS,King's Cross,00AG,Camden,164.3,13.5,46.1,7.5,12.1,0.2,34.1,76.9,81.5,79.2,14.5,78.3,7.2,49.2,50.9,22.4
150,14639,00AUFY,Bunhill,00AU,Islington,179.7,13.5,47.3,6.5,15.8,0.3,44.5,75.5,82.1,78.8,13.5,78.6,7.9,34.5,41.9,16.6
151,17446,00AZGQ,Lewisham Central,00AZ,Lewisham,185.1,13.6,27.4,8.2,16.1,0.5,67.4,71.4,77.6,74.5,18.3,73.3,8.4,51.6,41.2,12.4
152,15715,00ACGF,Finchley Church End,00AC,Barnet,53.5,13.7,4.9,3.4,12.3,1.2,72.1,82.4,86.3,84.4,18.8,64.7,16.5,33.1,40.9,14.5
153,15155,00AEGZ,Queensbury,00AE,Brent,85,13.7,15.3,4.2,21.4,1.2,73.2,85.1,85.8,85.4,20.1,67.7,12.2,72.9,57.7,24.1
154,16257,00BBGK,Forest Gate North,00BB,Newham,90.8,13.8,28.9,8.7,17.8,0.6,69.6,74.2,79.8,77,21.3,71.8,6.9,64.1,50.5,21
155,14123,00BCGT,Valentines,00BC,Redbridge,146.7,13.8,8.9,8.8,16.6,0.8,99.7,75.9,86.4,81.2,24,67.3,8.7,77.6,50.3,21
156,10910,00ADGD,Blendon and Penhill,00AD,Bexley,36.6,13.9,2.6,2.4,21.5,1.4,59,82.4,85.3,83.8,19.5,62.6,17.9,9.5,7.8,1.7
157,12548,00AMGG,Hackney Central,00AM,Hackney,136.8,14.1,50.7,11,18.4,0.3,68.7,75,80.3,77.6,17.6,74.7,7.7,52.7,40.5,12.8
158,13439,00AJGY,Southall Broadway,00AJ,Ealing,147.1,14.1,16.4,8.5,23.8,0.9,103.1,81.2,82.4,81.8,21.2,68.3,10.5,93.7,64.1,36
159,12395,00APGD,Crouch End,00AP,Haringey,80.9,14.2,10.2,3.4,6.4,0.7,59.1,78.1,82.3,80.2,15.9,75.2,8.9,18,29.2,7.6
160,14263,00AYGP,Sainteatham Hill,00AY,Lambeth,81.5,14.2,24.9,6.5,13.5,0.6,57.1,76.4,79.9,78.2,18.3,73.3,8.4,37.9,37.8,12.4
161,13643,00AMGF,De Beauvoir,00AM,Hackney,100.9,14.2,39.9,9.4,15.6,0.4,53.7,77.7,81.5,79.6,16.1,76.9,7,39.9,37.8,11.7
162,13474,00AJHA,Southfield,00AJ,Ealing,72.4,14.3,9.8,3.1,9,0.8,74.3,80.7,86.7,83.7,17.3,72.7,10,20.8,36.2,10.7
163,11135,00AQGG,Headstone South,00AQ,Harrow,40.5,14.4,7.2,3.7,13.1,1.1,73,80,89.5,84.8,20.4,67.6,12,56.5,44.2,15.9
164,12072,00AUGA,Canonbury,00AU,Islington,103.9,14.4,47.2,6.8,19.2,0.4,50,74.7,84.1,79.4,17.3,73,9.7,28.2,29.7,9.1
165,16784,00AYGD,Coldharbour,00AY,Lambeth,194.9,14.4,59.1,15,17.6,0.4,63,73.1,80,76.6,21.6,72.3,6.1,62.1,43.7,13.3
166,12659,00APGH,Hornsey,00AP,Haringey,66.1,14.5,29.5,8.6,13.8,0.6,57.5,74.7,83.2,79,18.1,73.7,8.2,31,32.2,10.5
167,12900,00AGGW,Swiss Cottage,00AG,Camden,87,14.5,16.5,2.9,9,0.6,68.6,81.6,85,83.3,16.5,71.9,11.6,32.4,51.2,17.8
168,10712,00BAFZ,Colliers Wood,00BA,Merton,92.8,14.5,12.6,3.5,13.3,0.7,62.9,77.6,83.3,80.4,14.2,77.7,8.1,40.1,47.2,16.3
169,16404,00BBGS,Plaistow South,00BB,Newham,125.3,14.5,25.1,10.5,21.8,0.6,102.3,75.4,83.4,79.4,25.1,68.3,6.6,67.3,51.7,21.9
170,18818,00ACGH,Golders Green,00AC,Barnet,83.3,14.6,13.3,4.5,16.4,1,98.7,78.3,84.2,81.2,27.2,60.8,12,34.2,45.8,17.5
171,11653,00AQGA,Edgware,00AQ,Harrow,63.9,15,10.3,4.3,22.5,1.1,91,79.6,83.9,81.8,20.3,68.3,11.4,65.3,56.5,24.8
172,13206,00BGGM,Weavers,00BG,Tower Hamlets,195.8,15,43.4,11.7,20.6,0.3,55.1,78.9,82.2,80.6,17.3,75.7,7,47.9,41.2,16.7
173,20049,00ACFZ,Childs Hill,00AC,Barnet,107.1,15.1,12.5,6.2,13.7,0.8,69,77.4,82,79.7,19.2,68.4,12.4,38.9,51.2,23
174,9275,00BAGB,Dundonald,00BA,Merton,79,15.2,3.7,1.4,7.8,0.8,77.3,80,90.1,85,16.5,73.7,9.8,18.1,35.6,7.3
175,12613,00AGGF,Camden Town with Primrose Hill,00AG,Camden,411.2,15.2,30.5,5.4,11.7,0.5,56.3,79.6,84.4,82,15.4,73.3,11.3,26.4,38.8,12.1
176,15811,00ACGN,Oakleigh,00AC,Barnet,59.6,15.3,7.3,3.7,14.7,1.3,72.5,78.9,84.3,81.6,19.1,64.5,16.4,26.7,28.5,8.6
177,14051,00AKGL,Bowes,00AK,Enfield,61.8,15.3,10.7,6.8,16.7,0.8,85.4,78.5,83.8,81.2,17.2,72.2,10.6,38.6,47.5,23.3
178,8675,00AWGJ,Norland,00AW,Kensington and Chelsea,91,15.3,38.5,5.4,14.2,0.6,73.9,87,88.6,87.8,17.5,67.7,14.8,25.6,40.7,14.4
179,14941,00BEGE,Cathedrals,00BE,Southwark,208.6,15.3,42.8,7.1,12.7,0.4,26.6,75,93.3,84.2,10.7,81.9,7.4,38.4,40,10.4
180,12828,00AQGQ,Roxbourne,00AQ,Harrow,53.5,15.4,25.4,5.7,19.2,1,62.1,75,84.5,79.8,24.5,65.7,9.8,66.3,48.4,20.9
181,15162,00AKGZ,Palmers Green,00AK,Enfield,80.2,15.4,9,5.7,20.6,1,64.8,78.9,83.3,81.1,18.8,67.9,13.3,35.4,41.4,18.1
182,12875,00ALGQ,Blackheath Westcombe,00AL,Greenwich,76.4,15.5,22.4,3.4,12.1,0.8,69.3,79.4,83.8,81.6,16.3,68.7,15,16.9,23,5.2
183,10633,00BKGK,Little Venice,00BK,Westminster,101.8,15.5,18.5,3.7,11.5,0.6,70,80.2,92.5,86.4,17.2,73,9.8,35.6,52.6,19.9
184,13670,00AMGQ,Queensbridge,00AM,Hackney,149.1,15.6,50.1,12.2,18.8,0.4,69.8,75.9,82.6,79.2,17.5,74.3,8.2,44.7,38.3,11.8
185,9798,00BAGP,Trinity,00BA,Merton,117,15.7,11.9,2.8,9.2,0.8,93.8,80.6,83.9,82.2,16.9,74.9,8.2,22.2,36.1,9.8
186,12288,00ATGH,Heston Central,00AT,Hounslow,78.6,15.8,19.5,4.6,17.3,1.1,80.8,77.2,83.2,80.2,20.8,68.3,10.9,76.6,54.7,23.9
187,11264,00AGGK,Gospel Oak,00AG,Camden,79.1,15.9,45.9,6.3,17.8,0.5,53.7,74.9,82.5,78.7,19.6,68.2,12.2,30.1,34.9,10.4
188,14358,00AUGC,Finsbury Park,00AU,Islington,182.9,15.9,43.4,9.6,20.6,0.3,46.8,74.2,78.8,76.5,18.4,73.1,8.5,42.9,41.6,17.5
189,14296,00AHGY,Shirley,00AH,Croydon,39.6,16,18.5,4.7,19.1,1.2,71.4,83,85.4,84.2,20.6,62.7,16.7,30.9,19.7,3.9
190,14906,00AKHE,Town,00AK,Enfield,54.5,16,6.1,3.8,17.4,1.2,61.6,79.9,83.8,81.8,20.2,64.9,14.9,18,17.1,4.4
191,9867,00ABGM,Valence,00AB,Barking and Dagenham,88.6,16,37.4,9.5,32.1,0.8,101.1,72.6,78,75.3,25.7,62.2,12.1,31.5,23.3,7.1
192,16476,00AHGS,Norbury,00AH,Croydon,77.4,16.1,13.8,6.6,16.2,1,73.7,81.5,82.8,82.2,21,65.6,13.4,62.3,43.6,13
193,15560,00AFGK,Clock House,00AF,Bromley,51.4,16.3,12.6,3.7,15.2,1,77.7,78.8,84.7,81.8,19.8,68.7,11.5,20.6,17.3,3.9
194,14579,00AJGZ,Southall Green,00AJ,Ealing,102.7,16.3,13.6,10.9,23.6,0.9,111.7,75.9,87.1,81.5,22.3,69.5,8.2,91.4,63.3,36.7
195,10785,00ANGM,Ravenscourt Park,00AN,Hammersmith and Fulham,107.6,16.3,23.2,3.4,9.9,0.6,47,78.3,86.2,82.2,17.6,71,11.4,26.7,37.3,11.6
196,16903,00AEHA,Saintnebridge,00AE,Brent,119.9,16.3,62.3,13.7,25.9,0.6,72.6,75.1,87.9,81.5,28.2,63.1,8.7,76.5,48.8,17.2
197,18472,00ACGK,Hendon,00AC,Barnet,81.9,16.4,12.1,4.7,13.5,1,88.4,80.1,85.3,82.7,20.1,68,11.9,36.3,48.2,20.3
198,10575,00ABGP,Whalebone,00AB,Barking and Dagenham,90.7,16.4,12.3,6.9,24,1,84,81,84.1,82.6,23.7,64.7,11.6,44,29.2,8.4
199,13896,00AUFZ,Caledonian,00AU,Islington,116.7,16.4,44.7,6.3,21,0.4,49.2,75.5,81.9,78.7,15.2,75.8,9,34.7,37.3,14.4
200,15771,00AYGU,Tulse Hill,00AY,Lambeth,95.8,16.6,43.2,11,14.7,0.5,63.2,77.4,81.4,79.4,21,72.4,6.6,52.6,38.6,11.3
201,12025,00AUGH,Junction,00AU,Islington,99.9,16.6,43.3,6.9,16.8,0.4,40,77,83.3,80.2,15.4,73.9,10.7,30.6,34.7,11.5
202,15756,00AZGR,New Cross,00AZ,Lewisham,144.9,16.6,40.5,10,17.9,0.5,74.9,73.7,78.2,76,20.2,73.9,5.9,59.7,46.6,15.3
203,13194,00ARGU,Squirrel's Heath,00AR,Havering,52.7,16.7,8.8,3.9,20,1.3,63,81.6,89.5,85.6,17.8,65.9,16.3,11.5,9.4,1.3
204,15448,00BJGB,Earlsfield,00BJ,Wandsworth,68,16.7,21.7,3.1,11.9,0.7,68.1,76.1,84.2,80.2,15,78.3,6.7,27.7,33.4,8.2
205,13672,00BCGM,Mayfield,00BC,Redbridge,80.2,16.8,7.6,7,20.5,1.2,111.4,78.1,82.9,80.5,24.3,64.1,11.6,73.3,41.1,13.5
206,14143,00AYGW,Vassall,00AY,Lambeth,100.4,16.8,53.2,11,16,0.4,47.1,74.3,82.1,78.2,18,74.8,7.2,52.7,40,12.1
207,14983,00AUGG,Holloway,00AU,Islington,79.4,16.9,46.5,6.2,18.8,0.4,35,72.8,81.1,77,15.6,76.2,8.2,36.1,39.6,14.9
208,14166,00BGFX,Bethnal Green South,00BG,Tower Hamlets,128.5,16.9,44.9,10.9,21.4,0.3,51,77.1,87.3,82.2,19.7,75,5.3,64.3,45.5,23.1
209,12133,00AEGS,Kenton,00AE,Brent,59.7,17,5.6,2.6,17.3,1.4,57.9,83.7,86.2,85,16.7,66.1,17.2,70,53.9,19.6
210,16256,00BJGP,Southfields,00BJ,Wandsworth,72.3,17,14.7,2.8,10.1,0.7,70,78.9,89.8,84.4,18.5,73.8,7.7,24.4,34.8,9
211,13449,00AHGK,Coulsdon West,00AH,Croydon,41.2,17.1,4.6,2.7,15.1,1.5,58.7,80,82.8,81.4,20.1,64.6,15.3,25.2,16.9,2.4
212,15392,00AFGL,Copers Cope,00AF,Bromley,69.5,17.1,9.2,3.1,12.1,1,61.5,77.4,82.4,79.9,13.2,70,16.8,17.4,20.3,4.6
213,11267,00ABGE,Goresbrook,00AB,Barking and Dagenham,82.9,17.1,37.3,9.6,30,0.8,97.4,79.3,81.4,80.4,26.6,63.4,10,33.3,26.8,7.7
214,14727,00AMGE,Dalston,00AM,Hackney,198,17.1,38.9,12,15.9,0.4,57.2,80.9,79.8,80.4,16.5,77.3,6.2,44.5,40.8,14
215,10965,00ADGF,Christchurch,00AD,Bexley,110.8,17.3,3.9,3.3,21,1.2,61.9,77.8,80.9,79.4,18.1,63.6,18.3,13.4,11.5,2.3
216,9839,00ABGJ,Parsloes,00AB,Barking and Dagenham,79.2,17.5,36.4,9.5,31.8,0.8,94.1,76.8,81.8,79.3,26.2,62.6,11.2,30.9,23.3,6.6
217,16518,00AHGZ,South Norwood,00AH,Croydon,100.5,17.5,20.7,9.6,15.9,0.7,75.6,75.6,84.4,80,21.3,68.8,9.9,52.3,32.1,8.2
218,14873,00AJGX,South Acton,00AJ,Ealing,106.8,17.5,33.9,7.3,16.2,0.7,62.9,76.4,79.8,78.1,20.5,68.4,11.1,43.5,50.5,23.4
219,16569,00AHGM,Fairfield,00AH,Croydon,261.1,17.5,15.5,4.2,12.3,0.6,74.2,79.2,80.9,80,17.6,70.7,11.7,48.7,42.3,13.7
220,17374,00AKHG,Upper Edmonton,00AK,Enfield,125.1,17.6,29.8,11.7,28.3,0.8,88.4,75.4,76.7,76,25.8,65,9.2,58,48.4,22.7
221,11444,00BHGQ,Valley,00BH,Waltham Forest,145.1,17.6,17.9,8.1,26.1,1.1,75.2,77.5,80.9,79.2,21.1,65.5,13.4,38.4,25.6,7.9
222,11658,00ASGK,Cavendish,00AS,Hillingdon,43.1,17.7,7.3,2.4,17.2,1.4,59.2,80.6,84,82.3,20.6,63.7,15.7,19.7,16.7,3.7
223,14017,00AEGJ,Alperton,00AE,Brent,103.1,17.7,12.1,4.5,22.1,0.9,87.6,76.7,87,81.8,19,71.5,9.5,81.8,66.8,32.3
224,17489,00AHHD,West Thornton,00AH,Croydon,112.2,17.7,15.7,7.9,17.9,0.8,81.5,77.6,82.5,80,25.1,65.4,9.5,76.5,46.5,15.1
225,11409,00ATGN,Hounslow South,00AT,Hounslow,54.8,17.9,5.1,2.9,15.7,1.3,60.7,83.6,88.7,86.2,19.3,68.2,12.5,45.1,38.7,13.2
226,11173,00AQGJ,Kenton West,00AQ,Harrow,57.1,17.9,3,3,17.9,1.4,64.8,82,86.6,84.3,17.9,67.8,14.3,72.6,51.3,20.4
227,11442,00ASGS,Manor,00AS,Hillingdon,56,18,4.1,2,17,1.3,53.6,80,83.1,81.6,20.2,64.1,15.7,16,16.2,3.6
228,10163,00BFGR,The Wrythe,00BF,Sutton,56.2,18,14.7,4.1,22.2,1.1,63.8,77.5,83.9,80.7,19.9,65.8,13.9,21.9,19.8,4.8
229,11740,00AGGH,Fortune Green,00AG,Camden,80.4,18,16.7,5,9.2,0.6,52.6,80.7,84.8,82.8,15,75.3,9.7,29,43.4,16.1
230,16826,00AFGG,Bromley Town,00AF,Bromley,155.7,18,10,3.3,13.1,1,73.4,78,81.1,79.6,19.4,66.7,13.9,18.5,19.9,4.9
231,11624,00ABGC,Eastbury,00AB,Barking and Dagenham,87.6,18.1,37.4,10.2,28.9,0.8,90.9,79.9,85.2,82.6,26.9,63.6,9.5,41.7,32.2,11.9
232,11794,00AUGF,Hillrise,00AU,Islington,69.3,18.3,45.3,7.6,17.9,0.5,56.8,74.9,80.6,77.8,19.2,71.8,9,33.7,32.9,10.4
233,14906,00AYGR,Sainteatham Wells,00AY,Lambeth,81.4,18.3,20.8,6.2,13.9,0.6,68.6,75.4,77.7,76.6,19.3,72.4,8.3,43.1,41.2,14.2
234,18087,00AHGW,Selhurst,00AH,Croydon,140.2,18.3,27.1,9.9,18.9,0.6,77.3,73.9,78.9,76.4,24.6,66.7,8.7,65.6,40.1,11.5
235,11663,00AQGR,Roxeth,00AQ,Harrow,64.1,18.4,9.5,5.2,17.3,1.2,69.2,81.6,82.6,82.1,22.8,66.2,11,66.3,48.4,19.8
236,10730,00BHGB,Endlebury,00BH,Waltham Forest,55,18.5,14.7,4.8,23.5,1.3,54.9,80.4,84.4,82.4,18.6,64.5,16.9,22.4,17.5,3.8
237,15504,00BJGE,Furzedown,00BJ,Wandsworth,54,18.8,16.8,6.5,15.5,0.7,74.2,77.2,81.4,79.3,22,68.2,9.8,43.1,36.7,12.9
238,13334,00ARGS,Saint Andrew's,00AR,Havering,82,18.8,11.3,3.7,26.2,1.2,65.7,77.1,79.1,78.1,16.4,62.7,20.9,7.2,7.7,1.6
239,9485,00BAGJ,Merton Park,00BA,Merton,69.5,18.9,3.9,2.5,11.5,1,57.1,84.5,88.5,86.5,19.5,65.9,14.6,29.2,35.5,10.1
240,10048,00BFGE,Belmont,00BF,Sutton,30.5,19,10,3,13.7,1.2,65.5,78.6,82.1,80.4,17.8,65.8,16.4,22.2,22.1,4.8
241,10273,00BAGF,Lavender Fields,00BA,Merton,68,19,20.4,5.7,18.1,0.8,76.2,80.8,80.9,80.8,20.3,72.4,7.3,46.8,46.1,19.6
242,15790,00AHGL,Croham,00AH,Croydon,73.3,19.1,8.3,4.4,12,1,77.8,78.9,83.3,81.1,18.2,69.8,12,31.3,24.3,6.5
243,15474,00AEGX,Preston,00AE,Brent,86.3,19.1,12.6,4.9,17.5,1,100.4,80.1,86.2,83.2,20.4,67.2,12.4,70,57.3,22.8
244,15281,00AEGY,Queens Park,00AE,Brent,115,19.1,19.9,6.9,13.3,0.7,76.3,80.4,87.9,84.2,18,73.4,8.6,37,41.9,14.4
245,13904,00AMGJ,Haggerston,00AM,Hackney,382.1,19.1,44.1,10.4,16.1,0.3,39.8,73.8,84.1,79,16,78.3,5.7,45.6,45.9,17.4
246,12759,00BKGU,Westbourne,00BK,Westminster,99,19.2,48.5,10,22.4,0.4,69,73.8,78,75.9,21.8,68.7,9.5,52.8,51.5,24.1
247,17575,00ACGT,Woodhouse,00AC,Barnet,92.8,19.3,11.5,4.5,15.7,1,57.8,78.6,81.1,79.8,18.7,67.7,13.6,37.6,41,16.2
248,13897,00AJGP,Lady Margaret,00AJ,Ealing,64.1,19.4,7.3,6.1,19.8,1.3,91.3,78.2,81.9,80,20.2,68.8,11,83.5,55.9,25.2
249,16082,00AHHB,Upper Norwood,00AH,Croydon,85.7,19.5,20.6,7.7,16.6,0.9,82.2,78.1,82.8,80.4,21,68,11,51.3,33.9,9
250,18706,00AJGH,East Acton,00AJ,Ealing,144.3,19.6,22.1,7.8,15,0.7,62.3,80.1,85.6,82.8,19.3,72.5,8.2,50.1,54.4,22.4
251,12786,00ABFX,Abbey,00AB,Barking and Dagenham,172.5,19.6,26.7,8.7,16.4,0.5,103.7,82.9,87.2,85,24.4,70.6,5,71.9,57.3,25.7
252,10373,00AQGU,West Harrow,00AQ,Harrow,45.4,19.7,9.6,3.7,13.4,1.1,60.8,81.4,82.6,82,20.3,66.7,13,55.8,42.9,14.4
253,13641,00AYGT,Thurlow Park,00AY,Lambeth,103.6,19.7,27.1,5.9,12.7,0.7,61.1,76.8,84,80.4,21.1,70.1,8.8,36.3,30.3,8.7
254,15105,00AEHC,Tokyngton,00AE,Brent,132.9,19.7,12,4.7,19.4,0.9,99.6,80.5,86.6,83.6,18.4,70.3,11.3,76.3,62.9,26.6
255,10650,00BFGS,Wallington North,00BF,Sutton,60,19.9,12.9,3.3,16.4,1.1,77.5,78.9,81.3,80.1,19.9,67.6,12.5,19.6,16.6,4.4
256,13241,00BCGD,Clayhall,00BC,Redbridge,66.7,19.9,4.9,3.6,17,1.4,63.8,84,85.4,84.7,21.9,63.8,14.3,71,38.8,10.9
257,13062,00ALGS,Coldharbour and New Eltham,00AL,Greenwich,60,20,23.5,4.9,25.4,1.1,75.2,79,83.6,81.3,18.6,64.5,16.9,18.3,15.6,3.6
258,12629,00BEGW,South Camberwell,00BE,Southwark,72.6,20,37.9,6.8,12.4,0.6,56.9,76.4,84.6,80.5,19.7,73.2,7.1,44.1,35.8,7.7
259,14638,00APGM,Saint Ann's,00AP,Haringey,91.5,20,23.6,11.3,20.4,0.5,76.2,73.6,81.8,77.7,18.2,73.3,8.5,45.7,54.7,25.9
260,17243,00AYGJ,Larkhall,00AY,Lambeth,113.7,20,41.4,7.3,13.9,0.4,38.8,74,79.2,76.6,16.7,77.1,6.2,43.3,42.2,13
261,13620,00BEGP,Nunhead,00BE,Southwark,98.5,20.1,47.4,11.3,21.1,0.5,70.4,71.2,77.3,74.2,19.6,71.5,8.9,55.5,39,9.1
262,13330,00AJHB,Walpole,00AJ,Ealing,100.1,20.1,12,3.6,10.2,0.8,66.8,79,85.5,82.2,18,71.5,10.5,27.1,38,14.1
263,14727,00AEHE,Wembley Central,00AE,Brent,156.3,20.1,15.6,6,20.7,0.8,88.1,76.8,88.2,82.5,18.2,72.1,9.7,86,68.5,32.9
264,18217,00ACFY,Burnt Oak,00AC,Barnet,67.8,20.2,35.5,6.9,23.6,0.8,94.3,74.7,82.1,78.4,24.6,66.1,9.3,53.5,47.1,19.3
265,12452,00ABGD,Gascoigne,00AB,Barking and Dagenham,135.2,20.3,54,12.2,25.5,0.5,130.2,73.4,83.6,78.5,31.5,62.4,6.1,60.4,48.2,18.7
266,14742,00BJGU,West Putney,00BJ,Wandsworth,51.6,20.5,22.9,3.8,14.5,0.8,50.4,75.6,79.9,77.8,17.8,68.9,13.3,22.9,34.4,9.5
267,13232,00AMGC,Chatham,00AM,Hackney,134.3,20.5,51,14.1,21.1,0.4,63.2,72.5,81.4,77,22,71.1,6.9,54.4,41.3,14.4
268,13787,00AKHD,Southgate Green,00AK,Enfield,65.9,20.6,12,4.3,16.3,1.1,57.8,78.2,85.2,81.7,18.1,66.6,15.3,33.2,36.2,14
269,14937,00AZGH,Crofton Park,00AZ,Lewisham,70.7,20.7,16.8,5.9,15.3,0.7,84.4,78.5,86.4,82.4,19.5,71.4,9.1,39.6,30.1,7
270,14262,00AYGL,Prince's,00AY,Lambeth,142.1,20.7,47.1,8.9,16.3,0.4,65.9,74.5,81.5,78,16.9,73.8,9.3,43.4,38.5,12.4
271,17098,00ACGA,Colindale,00AC,Barnet,68.8,20.8,34.3,4.8,18,0.8,68.6,76.4,84.6,80.5,22.2,69.4,8.4,59.9,52.7,23.2
272,10923,00ABGK,River,00AB,Barking and Dagenham,92.8,20.8,25.7,8.6,29.9,0.8,80.4,73.2,77.9,75.6,26.9,63,10.1,38.4,30.9,9.6
273,11306,00ANGF,Fulham Reach,00AN,Hammersmith and Fulham,98.4,20.9,31.9,3.8,11.7,0.5,40.9,82,92.7,87.4,12.6,78.9,8.5,30.5,43.6,14
274,13231,00AMGT,Victoria,00AM,Hackney,109.7,20.9,52.3,12.5,19.5,0.4,62.9,79.4,86.8,83.1,20.6,72,7.4,44.2,34,10.4
275,16238,00BGGH,Saint Dunstan's and Saintpney Green,00BG,Tower Hamlets,99.2,21.2,54,11.7,26.9,0.4,92.9,71.6,77.3,74.4,23.7,67.8,8.5,65.2,39.8,19.8
276,9752,00BDGP,Whitton,00BD,Richmond upon Thames,57,21.3,9.8,2.8,17,1.2,76.8,79.7,85.8,82.8,19.3,64.4,16.3,21.5,23.3,6.7
277,16760,00BCGP,Newbury,00BC,Redbridge,73.4,21.4,10,6.5,17.4,1.1,84.5,78.8,83.8,81.3,25.4,65.5,9.1,77.2,47.5,17.6
278,10712,00BFGL,Saintnecot,00BF,Sutton,52.6,21.5,3.7,2.8,20.5,1.4,45.6,78.7,85.2,82,20.6,64.9,14.5,20.9,18.1,5.2
279,9431,00AXGH,Old Malden,00AX,Kingston upon Thames,34,21.6,9.1,2.3,15.7,1.4,62.6,82.4,85.9,84.2,19.9,64.4,15.7,30.8,27.3,8.4
280,14648,00AZGM,Grove Park,00AZ,Lewisham,69.9,21.6,26.7,7.1,22.5,0.9,66.4,77.2,82.2,79.7,20.8,66.6,12.6,37.5,26.9,7
281,11634,00AUGD,Highbury East,00AU,Islington,96.6,21.6,31.1,4.7,13.4,0.5,64.2,76.7,80.5,78.6,17,73.3,9.7,23.5,30.9,9.3
282,14810,00BBGD,Canning Town North,00BB,Newham,125.7,21.7,49.3,14.4,25.7,0.5,72.4,74.6,75.9,75.2,23,69.3,7.7,59.2,47.9,18.6
283,9343,00AWGQ,Saint Charles,00AW,Kensington and Chelsea,85.1,21.9,58.7,9.4,21.5,0.5,59.5,78.9,82.3,80.6,19.1,69.7,11.2,37.6,37.8,13.5
284,15098,00AFGD,Bickley,00AF,Bromley,45.3,22.1,7,2.4,14.5,1.4,57.7,78.3,81.5,79.9,19.2,61,19.8,14.5,15.7,2.7
285,10411,00AQGM,Pinner South,00AQ,Harrow,0.9,22.2,6.7,1.9,11.4,1.4,61.1,82.7,93.1,87.9,21.2,61.7,17.1,40.6,29.4,6.8
286,14721,00AHGF,Ashburton,00AH,Croydon,62.7,22.2,21.5,5.4,19.5,1.1,60,78.5,82.3,80.4,21.8,65,13.2,36.7,22.3,4.8
287,14854,00AZGL,Forest Hill,00AZ,Lewisham,78.2,22.2,26.4,7.6,13.9,0.7,74.1,76.5,80.4,78.4,21.1,68.9,10,38.2,31.1,8.2
288,14019,00AJGG,Ealing Common,00AJ,Ealing,91.3,22.2,14.6,4.8,10.8,0.9,49.6,77,86.3,81.6,15.2,73.5,11.3,31.5,43.1,15.4
289,9618,00BKGD,Churchill,00BK,Westminster,107.2,22.2,49.8,6.8,19.1,0.4,46,74.6,81.9,78.2,20.1,67.1,12.8,39.4,44.4,17.4
290,11655,00BFGW,Worcester Park,00BF,Sutton,42.3,22.3,6.4,2.4,17.2,1.2,83,81.1,83.7,82.4,20.8,65.8,13.4,20,21.5,6.1
